IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.32.82,4,4,0.00,114.74,13.43,SIN
162.159.22.64,4,4,0.00,114.99,13.43,SIN
162.159.16.144,4,4,0.00,115.13,13.30,SIN
104.18.32.8,4,4,0.00,112.86,12.90,SIN
162.159.17.194,4,4,0.00,114.87,12.62,SIN
162.159.60.151,4,4,0.00,115.86,12.42,SIN
172.64.49.126,4,4,0.00,114.13,11.08,SIN
172.64.35.58,4,4,0.00,113.15,9.94,SIN
172.65.17.13,4,4,0.00,244.38,0.00,N/A
104.18.135.187,4,4,0.00,221.21,0.00,N/A
108.162.195.93,4,4,0.00,115.91,0.00,N/A
162.159.58.101,4,4,0.00,115.93,0.00,N/A
162.159.18.48,4,4,0.00,116.59,0.00,N/A
172.64.150.235,4,4,0.00,116.68,0.00,N/A
172.64.40.142,4,4,0.00,116.98,0.00,N/A
162.159.33.136,4,4,0.00,117.20,0.00,N/A
162.159.14.34,4,4,0.00,117.23,0.00,N/A
172.64.149.246,4,4,0.00,117.33,0.00,N/A
172.64.147.253,4,4,0.00,117.37,0.00,N/A
162.159.62.0,4,4,0.00,118.07,0.00,N/A
162.159.61.31,4,4,0.00,118.17,0.00,N/A
104.18.43.242,4,4,0.00,118.26,0.00,N/A
162.159.23.26,4,4,0.00,118.33,0.00,N/A
172.64.146.83,4,4,0.00,118.51,0.00,N/A
162.159.25.112,4,4,0.00,118.54,0.00,N/A
162.159.7.147,4,4,0.00,118.55,0.00,N/A
172.64.157.144,4,4,0.00,118.55,0.00,N/A
162.159.1.65,4,4,0.00,118.66,0.00,N/A
162.159.34.84,4,4,0.00,118.70,0.00,N/A
108.162.194.144,4,4,0.00,118.79,0.00,N/A
162.159.35.199,4,4,0.00,118.83,0.00,N/A
172.64.148.39,4,4,0.00,119.03,0.00,N/A
162.159.8.173,4,4,0.00,119.16,0.00,N/A
172.64.42.57,4,4,0.00,119.16,0.00,N/A
172.64.34.173,4,4,0.00,119.19,0.00,N/A
173.245.58.187,4,4,0.00,119.52,0.00,N/A
172.64.32.210,4,4,0.00,119.62,0.00,N/A
108.162.193.34,4,4,0.00,119.64,0.00,N/A
172.64.145.45,4,4,0.00,119.75,0.00,N/A
162.159.36.39,4,4,0.00,119.76,0.00,N/A
162.159.19.50,4,4,0.00,119.82,0.00,N/A
162.159.50.95,4,4,0.00,119.88,0.00,N/A
162.159.51.74,4,4,0.00,119.93,0.00,N/A
172.64.47.55,4,4,0.00,119.96,0.00,N/A
162.159.20.223,4,4,0.00,120.06,0.00,N/A
162.159.11.72,4,4,0.00,120.39,0.00,N/A
172.64.151.87,4,4,0.00,120.41,0.00,N/A
